category,name,value,unit,notes
Targets,DefDensity_t,3.00,defects/100 tasks,Target max defect density. Used in P_quality (sub-indicator defect density). ≤ target scores 100%.
Targets,Escaped_t,0.01,escapes/100 tasks,Target max escaped defects. Used in P_quality (sub-indicator escaped rate). ≤ target scores 100%.
Targets,MTTR_t,24,hours,Target mean time to recover (hours). Used in P_quality (sub-indicator MTTR). ≤ target scores 100%.
Targets,SPI_t,1,ratio,"Target schedule performance index. Used in P_time (sub-indicator SPI). Optional, default 1 = on track."
Targets,CPI_t,1,ratio,"Target cost performance index. Used in P_cost (sub-indicator CPI). Optional, default 1 = on budget."
Targets,LT_t,3.00,max days,Target maximum lead time. Used in P_flow (sub-indicator Lead Time)
Targets,FE_t,0.40,ratio,Target ratio flow efficiency
Targets,WIP_max,4.00,count,Max recommended Work In Progress items. Used in P_flow (sub-indicator WIP breaches). TBI.
Targets,CFR_max,0.15,ratio,Deprecated. Previously used in Change Failure Rate.
Targets,ROI_t,1.00,ratio,ROI target. Used in P_value (sub-indicator ROI).
Targets,IaC_t,0.90,ratio,Target coverage for Infrastructure as Code. Used in P_engineering (sub-indicator IaC coverage).
Targets,HighVuln_t,0.00,count,Target max high-severity vulnerabilities open >30 days (0 = strict compliance)
Targets,CritRisk_t,0.00,count,Target max overdue critical risks at closure (0 = none tolerated)
Targets,GovExc_t,2.00,count,Max tolerated exceptions. If < 2 score will always be 0 when there are excceptions
Targets,PR_noReview_t,0.02,ratio,Target percentage of pull requests with no reviewer (min. 1 to 50)
Quality Weights,W_def,0.05,weight,Defect density  in P_quality
Quality Weights,W_esc,0.20,weight,Escaped rate  in P_quality
Quality Weights,W_mttr,0.05,weight,MTTR  in P_quality (Mean Time To Resolution)
Quality Weights,W_q_storyrev,0.30,weight,Stories without a reviewer in P_qauality
Quality Weights,W_qual_gov,0.30,weight,governance compliance in P_quality
Quality Weights,W_q_pr,0.10,weight,Pull request review ratio in P_quality
Quality Weights,W_q_design,0.00,weight,Design quality in P_quality
Quality Weights,W_q_science,0.00,weight,Data science in P_quality
Time Weights,W_time_spi,0.60,weight,SPI in P_time calculation
Time Weights,W_time_milestones,0.40,weight,for OnTimeMilestones in P_time
Cost Weights,W_cost_cpi,0.70,weight,CPI (cost efficiency) in P_cost
Cost Weights,W_cost_var,0.30,weight,Budget Variance (overrun %) in P_cost
Value Weights,W_value_roi,0.70,weight,ROI inside p_value
Value Weights,W_value_okr,0.30,weight,OKR inside p_value
Satisfaction Weights,W_sat_client,0.80,weight,final client satisfaction in P_satisfaction
Satisfaction Weights,W_sat_pm,0.20,weight,PM estimation of client satisfaction  in P_satisfaction
Satisfaction Handsoff Weights,W_cs_understanding,0.12,weight,Client survey weight
Satisfaction Handsoff Weights,W_cs_proactivity,0.12,weight,Client survey weight
Satisfaction Handsoff Weights,W_cs_communication,0.10,weight,Client survey weight
Satisfaction Handsoff Weights,W_cs_time,0.14,weight,Client survey weight
Satisfaction Handsoff Weights,W_cs_response,0.10,weight,Client survey weight
Satisfaction Handsoff Weights,W_cs_quality,0.24,weight,Client survey weight
Satisfaction Handsoff Weights,W_cs_expect,0.12,weight,Client survey weight
Satisfaction Handsoff Weights,W_cs_recommend,0.06,weight,Client survey weight
Efficiency Weights,W_flow_lt,0.40,weight,time in P_efficiency
Efficiency Weights,W_flow_fe,0.30,weight,for flow efficiencye in P_efficiency
Efficiency Weights,W_flow_cr,0.30,weight,for commitment reliability in P_efficiency
Engineering Weights,W_eng_test,0.50,weight,test maturity in P_engineering
Engineering Weights,W_eng_pr,0.20,weight,PR review ratio in P_engineering
Engineering Weights,W_eng_iac,0.00,weight,IaC coverage in P_engineering (Infrastructure as Code)
Engineering Weights,W_eng_arch,0.30,weight,architecture checklist in P_engineering
Risk Weights,W_risk_pr,0.50,weight,PR with no reviewer P_risk
Risk Weights,W_risk_vuln,0.50,weight,HighVuln_open_gt30d in P_risk
Risk Weights,W_risk_risks,0.00,weight,RisksCriticalOverdue in P_risk
Global Weights,W_time,0.12,weight,P_time
Global Weights,W_cost,0.10,weight,P_costs
Global Weights,W_quality,0.18,weight,P_quality
Global Weights,W_value,0.10,weight,P_value
Global Weights,W_risk,0.05,weight,P_risk
Global Weights,W_flow,0.15,weight,P_flow
Global Weights,W_engineering,0.18,weight,P_engineering
Global Weights,W_satisfaction,0.12,weight,P_satisfaction
Gates & Constants,Sev1_cap,60,points,max P_quality if Sev1
Gates & Constants,GraceDays,3,days,schedule grace window
Gates & Constants,Bonus_max,0.1,points,optional bonus cap (Top 5 projects)
Test Maturity Weights,W_test_e2e,0.4,weight,
Test Maturity Weights,W_test_unit,0.1,weight,
Test Maturity Weights,W_test_access,0.1,weight,
Test Maturity Weights,W_test_security,0.2,weight,
Test Maturity Weights,W_test_frontend,0.2,weight,
